eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
232,6.364819526672363,S,"('192.168.0.15', 5001)",1752112546.3578796
233,7.127121925354004,S,"('192.168.0.17', 5001)",1752112548.7658017
234,7.933085680007935,S,"('192.168.0.16', 5001)",1752112549.14219
235,8.054734230041504,S,"('192.168.0.15', 5001)",1752112549.6300497
236,9.695237874984741,S,"('192.168.0.16', 5001)",1752112550.8730433
237,9.424954891204834,S,"('192.168.0.17', 5001)",1752112553.6381476
238,12.040511131286621,S,"('192.168.0.16', 5001)",1752112554.5839643
239,11.27878189086914,S,"('192.168.0.16', 5001)",1752112556.8437524
240,12.890370845794678,S,"('192.168.0.15', 5001)",1752112556.86057
241,14.467727661132812,S,"('192.168.0.17', 5001)",1752112557.517973
242,14.17453145980835,S,"('192.168.0.16', 5001)",1752112557.5873308
243,15.052279710769653,S,"('192.168.0.18', 5001)",1752112558.427098
244,15.15535569190979,S,"('192.168.0.16', 5001)",1752112560.7923293
245,14.395042657852173,S,"('192.168.0.15', 5001)",1752112561.8107147
246,16.071109771728516,S,"('192.168.0.17', 5001)",1752112562.566684
247,16.423914194107056,S,"('192.168.0.15', 5001)",1752112562.941686
248,16.76688027381897,S,"('192.168.0.17', 5001)",1752112563.6380155
249,16.209575176239014,S,"('192.168.0.17', 5001)",1752112565.8067036
250,16.226130962371826,S,"('192.168.0.18', 5001)",1752112566.0020857
251,16.45301842689514,S,"('192.168.0.16', 5001)",1752112569.1384153
252,17.227346658706665,S,"('192.168.0.18', 5001)",1752112570.5905902
253,16.024728775024414,S,"('192.168.0.15', 5001)",1752112570.875685
254,16.80963158607483,S,"('192.168.0.18', 5001)",1752112571.3028622
255,17.707454442977905,S,"('192.168.0.16', 5001)",1752112571.6748557
256,16.928993463516235,S,"('192.168.0.18', 5001)",1752112574.2209792
257,15.646695852279663,S,"('192.168.0.16', 5001)",1752112575.2628825
258,16.358778953552246,S,"('192.168.0.16', 5001)",1752112578.7009141
259,12.589957237243652,S,"('192.168.0.18', 5001)",1752112578.7524233
260,17.116730451583862,S,"('192.168.0.17', 5001)",1752112579.428447
261,15.801782369613647,S,"('192.168.0.17', 5001)",1752112579.8131733
262,13.60247015953064,S,"('192.168.0.16', 5001)",1752112589.2345324
263,13.64539909362793,S,"('192.168.0.18', 5001)",1752112592.1347442
264,14.778328657150269,S,"('192.168.0.16', 5001)",1752112592.3219042
265,14.685913562774658,S,"('192.168.0.18', 5001)",1752112597.246069
266,15.726983308792114,S,"('192.168.0.17', 5001)",1752112597.4705472
267,15.394929647445679,S,"('192.168.0.18', 5001)",1752112597.7502227
268,15.835220336914062,S,"('192.168.0.16', 5001)",1752112601.0007503
269,17.847962617874146,S,"('192.168.0.16', 5001)",1752112605.3469696
270,16.28456211090088,S,"('192.168.0.17', 5001)",1752112606.5231018
271,15.735304594039917,S,"('192.168.0.18', 5001)",1752112607.0906425
272,18.065897941589355,S,"('192.168.0.16', 5001)",1752112609.430572
273,15.790722846984863,S,"('192.168.0.18', 5001)",1752112609.7135983
274,15.70652174949646,S,"('192.168.0.15', 5001)",1752112609.7706897
275,15.833384990692139,S,"('192.168.0.15', 5001)",1752112610.744734
276,15.308515548706055,S,"('192.168.0.17', 5001)",1752112614.4385436
277,16.92189598083496,S,"('192.168.0.17', 5001)",1752112616.6625621
278,14.91685938835144,S,"('192.168.0.15', 5001)",1752112617.2903464
279,14.932698726654053,S,"('192.168.0.16', 5001)",1752112619.2704246
280,12.821386337280273,S,"('192.168.0.18', 5001)",1752112619.8496535
281,12.754602432250977,S,"('192.168.0.15', 5001)",1752112623.4570384
282,14.396140813827515,S,"('192.168.0.16', 5001)",1752112623.9886646
283,15.033099889755249,S,"('192.168.0.18', 5001)",1752112625.7494118
284,15.310231685638428,S,"('192.168.0.15', 5001)",1752112626.1071746
285,15.560060739517212,S,"('192.168.0.17', 5001)",1752112630.5929856
286,10.954418182373047,S,"('192.168.0.18', 5001)",1752112632.9896722
287,13.793421506881714,S,"('192.168.0.15', 5001)",1752112633.5621643
288,11.915489196777344,S,"('192.168.0.18', 5001)",1752112634.68461
289,15.366293907165527,S,"('192.168.0.17', 5001)",1752112637.829321
290,12.584676265716553,S,"('192.168.0.17', 5001)",1752112642.8854444
291,13.716386079788208,S,"('192.168.0.18', 5001)",1752112643.976029
292,13.812466859817505,S,"('192.168.0.15', 5001)",1752112645.7247589
293,12.745981931686401,S,"('192.168.0.16', 5001)",1752112649.3132827
294,11.85817837715149,S,"('192.168.0.16', 5001)",1752112650.515969
295,12.750272750854492,S,"('192.168.0.16', 5001)",1752112653.2376804
296,14.240166425704956,S,"('192.168.0.17', 5001)",1752112653.7293239
297,9.168086051940918,S,"('192.168.0.18', 5001)",1752112654.2645533
298,12.819341897964478,S,"('192.168.0.15', 5001)",1752112659.8606832
299,13.942843198776245,S,"('192.168.0.17', 5001)",1752112664.0262341
300,14.048900365829468,S,"('192.168.0.18', 5001)",1752112664.3360574
301,16.0708966255188,S,"('192.168.0.15', 5001)",1752112664.475476
302,16.213210821151733,S,"('192.168.0.17', 5001)",1752112665.2512147
303,13.691938638687134,S,"('192.168.0.18', 5001)",1752112666.139665
304,15.875032901763916,S,"('192.168.0.15', 5001)",1752112667.2352333
305,14.41431212425232,S,"('192.168.0.17', 5001)",1752112667.933241
306,14.297739505767822,S,"('192.168.0.17', 5001)",1752112668.7202585
307,10.520372152328491,S,"('192.168.0.15', 5001)",1752112676.8409467
308,7.870301008224487,S,"('192.168.0.18', 5001)",1752112682.4756985
309,9.935004472732544,S,"('192.168.0.18', 5001)",1752112682.621182
310,9.983191013336182,S,"('192.168.0.17', 5001)",1752112682.812729
311,11.364213943481445,S,"('192.168.0.16', 5001)",1752112683.0933945
312,11.505105257034302,S,"('192.168.0.16', 5001)",1752112684.259436
313,11.902475833892822,S,"('192.168.0.16', 5001)",1752112685.2573712
314,12.510535955429077,S,"('192.168.0.15', 5001)",1752112685.6304018
315,9.445572853088379,S,"('192.168.0.16', 5001)",1752112691.708457
316,11.40657353401184,S,"('192.168.0.16', 5001)",1752112693.257908
317,10.033535242080688,S,"('192.168.0.16', 5001)",1752112693.9287145
318,8.98450756072998,S,"('192.168.0.18', 5001)",1752112696.0477135
319,8.219909429550171,S,"('192.168.0.17', 5001)",1752112697.491334
320,1.6873490810394287,S,"('192.168.0.16', 5001)",1752112708.6628604
321,1.9796593189239502,S,"('192.168.0.17', 5001)",1752112711.7899365
322,3.3163936138153076,S,"('192.168.0.15', 5001)",1752112711.872515
323,2.7538599967956543,S,"('192.168.0.15', 5001)",1752112714.1419463
324,2.6446359157562256,S,"('192.168.0.17', 5001)",1752112716.0083153
325,2.1114184856414795,S,"('192.168.0.18', 5001)",1752112718.5232794
326,1.9635367393493652,S,"('192.168.0.15', 5001)",1752112720.7121558
327,2.1465694904327393,S,"('192.168.0.15', 5001)",1752112722.3108056
